Country;Year;Value
Portugal;2011;125,1
Portugal;2012;116,3
Portugal;2013;118,0
Portugal;2014;129,0
Portugal;2015;206,6
Portugal;2016;183,6
Portugal;2017;80,1
Portugal;2018;
Portugal;2019;
Slovak Republic;1999;2,9
Slovak Republic;2000;7,7
Slovak Republic;2001;13,7
Slovak Republic;2002;23,0
Slovak Republic;2003;19,3
Slovak Republic;2004;13,3
Slovak Republic;2005;20,4
Slovak Republic;2006;25,4
Slovak Republic;2007;31,0
Slovak Republic;2008;20,8
Slovak Republic;2009;27,2
Slovak Republic;2010;28,6
Slovak Republic;2011;39,4
Slovak Republic;2012;35,9
Slovak Republic;2013;59,6
Slovak Republic;2014;43,1
Slovak Republic;2015;52,6
Slovak Republic;2016;54,1
Slovak Republic;2017;29,3
Slovak Republic;2018;
Slovak Republic;2019;
Slovenia;1999;5,0
Slovenia;2000;37,0
Slovenia;2001;30,6
Slovenia;2002;60,7
Slovenia;2003;38,7
Slovenia;2004;59,2
Slovenia;2005;61,5
Slovenia;2006;34,9
Slovenia;2007;65,3
Slovenia;2008;66,7
Slovenia;2009;61,4
Slovenia;2010;56,7
Slovenia;2011;66,3
Slovenia;2012;60,4
Slovenia;2013;85,3
Slovenia;2014;75,8
Slovenia;2015;48,3
Slovenia;2016;52,3
Slovenia;2017;56,3
Slovenia;2018;
Slovenia;2019;
Spain;1999;148,7
Spain;2000;479,3
Spain;2001;652,3
Spain;2002;605,5
Spain;2003;692,9
Spain;2004;1.000,2
Spain;2005;1.065,5
Spain;2006;977,6
Spain;2007;1.049,3
Spain;2008;1.106,9
Spain;2009;1.197,5
Spain;2010;1.208,0
Spain;2011;1.181,8
Spain;2012;1.215,5
Spain;2013;1.223,3
Spain;2014;1.262,6
Spain;2015;1.277,3
Spain;2016;1.132,4
Spain;2017;603,6
Spain;2018;
Spain;2019;
Sweden;1999;583,9
Sweden;2000;2.237,6
Sweden;2001;2.353,5
Sweden;2002;2.215,4
Sweden;2003;2.172,0
Sweden;2004;2.254,7
Sweden;2005;2.387,7
Sweden;2006;2.556,7
Sweden;2007;2.905,9
Sweden;2008;3.091,5
Sweden;2009;2.935,4
Sweden;2010;3.175,4
Sweden;2011;3.081,0
Sweden;2012;3.438,3
Sweden;2013;3.266,5
Sweden;2014;3.217,1
Sweden;2015;3.091,8
Sweden;2016;2.788,2
Sweden;2017;1.240,6
Sweden;2018;
Sweden;2019;
Switzerland;1999;544,6
Switzerland;2000;2.028,3
Switzerland;2001;2.271,2
Switzerland;2002;2.301,9
Switzerland;2003;2.354,7
Switzerland;2004;2.604,5
Switzerland;2005;2.732,5
Switzerland;2006;2.712,2
Switzerland;2007;2.738,8
Switzerland;2008;2.935,8
Switzerland;2009;2.872,1
Switzerland;2010;3.046,8
Switzerland;2011;2.983,0
Switzerland;2012;3.137,4
Switzerland;2013;3.109,2
Switzerland;2014;3.075,2
Switzerland;2015;3.002,6
Switzerland;2016;2.776,8
Switzerland;2017;1.606,4
Switzerland;2018;
Switzerland;2019;
Turkey;1999;2,0
Turkey;2000;16,3
Turkey;2001;36,5
Turkey;2002;38,6
Turkey;2003;41,7
Turkey;2004;66,1
Turkey;2005;70,3
Turkey;2006;75,1
Turkey;2007;91,5
Turkey;2008;108,9
Turkey;2009;145,7
Turkey;2010;169,5
Turkey;2011;172,5
Turkey;2012;226,4
Turkey;2013;236,7
Turkey;2014;238,0
Turkey;2015;271,0
Turkey;2016;263,2
Turkey;2017;147,6
Turkey;2018;
Turkey;2019;
United Kingdom;1999;1.956,3
United Kingdom;2000;6.977,8
United Kingdom;2001;7.814,1
United Kingdom;2002;7.353,1
United Kingdom;2003;7.686,8
United Kingdom;2004;7.051,7
United Kingdom;2005;7.355,7
United Kingdom;2006;7.813,6
United Kingdom;2007;7.582,7
United Kingdom;2008;7.503,7
United Kingdom;2009;7.314,3
United Kingdom;2010;7.524,5
United Kingdom;2011;7.902,3
United Kingdom;2012;8.079,9
United Kingdom;2013;8.557,9
United Kingdom;2014;8.309,1
United Kingdom;2015;7.755,3
United Kingdom;2016;6.676,7
United Kingdom;2017;3.962,7
United Kingdom;2018;
United Kingdom;2019;
United States;1999;22.895,5
United States;2000;61.394,9
United States;2001;131.891,5
United States;2002;137.996,7
United States;2003;142.317,3
United States;2004;149.964,8
United States;2005;155.011,2
United States;2006;156.574,5
United States;2007;156.390,9
United States;2008;147.967,0
United States;2009;136.103,6
United States;2010;141.652,7
United States;2011;149.661,3
United States;2012;164.206,0
United States;2013;175.877,3
United States;2014;157.428,8
United States;2015;147.718,8
United States;2016;138.736,4
United States;2017;121.722,0
United States;2018;
United States;2019;
European Union;1999;9.338,3
European Union;2000;35.648,9
European Union;2001;39.103,5
European Union;2002;39.546,3
European Union;2003;40.970,6
European Union;2004;43.989,6
European Union;2005;44.357,2
European Union;2006;43.691,9
European Union;2007;43.754,6
European Union;2008;44.490,0
European Union;2009;43.285,8
European Union;2010;45.042,2
European Union;2011;45.308,8
European Union;2012;47.001,5
European Union;2013;47.491,3
European Union;2014;47.346,8
European Union;2015;46.444,1
European Union;2016;41.321,8
European Union;2017;23.104,8
European Union;2018;
European Union;2019;
OECD ;1999;52.562,4
OECD ;2000;171.423,9
OECD ;2001;254.009,8
OECD ;2002;265.827,4
OECD ;2003;277.903,9
OECD ;2004;297.159,8
